Name;Address;Register;RW;Unit;Type;Range;Invalid Value;Saved;Description
RELAY_STATE;0;Coil;R;-;bool;0-1;-;-;The actual status of the relay (closed or open)
IS_RMS_VOLTAGE_MEASURED;1;Coil;R;-;bool;0-1;-;-;Voltage measuring is available
IS_RMS_CURRENT_MEASURED;2;Coil;R;-;bool;0-1;-;-;Current measuring is available
IS_ACTIVE_POWER_MEASURED;3;Coil;R;-;bool;0-1;-;-;Current measuring is available
IS_REACTIVE_POWER_MEASURED;4;Coil;R;-;bool;0-1;-;-;Current measuring is available
IS_APPARENT_POWER_MEASURED;5;Coil;R;-;bool;0-1;-;-;Current measuring is available
IS_POWER_FACTOR_MEASURED;6;Coil;R;-;bool;0-1;-;-;Current measuring is available
IS_AC_FREQUENCY_MEASURED;7;Coil;R;-;bool;0-1;-;-;Current measuring is available
ID;0;Input Register;R;-;uint8_t;0-FFFF;-;-;The ID of the IEC module
VERSION;1;Input Register;R;-;float;0-FFFF;-;-;The VERSION of the IEC module
IEC_STATUS;2;Input Register;R;-;uint8_t;0-3;-;-;Standby - , Normal -, Off -
AVAILABLE_LEDS;3;Input Register;R;-;uint8_t;0-9;-;-;
CURRENT_LIMIT;4;Input Register;R;-;uint8_t;0-100;-;-;
RELAY_COUNT;5;Input Register;R;-;uint8_t;0-9;-;-;
RMS_CURRENT;6;Input Register;R;-;uint8_t;0-FFFF;-;-;
RMS_VOLTAGE;7;Input Register;R;-;uint8_t;0-FFFF;-;-;
ACTIVE_POWER;8;Input Register;R;-;uint8_t;0-FFFF;-;-;
REACTIVE_POWER;9;Input Register;R;-;uint8_t;0-FFFF;-;-;
APPARENT_POWER;10;Input Register;R;-;uint8_t;0-FFFF;-;-;
POWER_FACTOR;11;Input Register;R;-;uint8_t;0-FFFF;-;-;
AC_FREQUENCY;12;Input Register;R;-;uint8_t;0-FFFF;-;-;
HOLDING_REGISTER_POWER_DATA_UPDATE_CYCLE_TIME;0;Holding Register;RW;-;uint8_t;0-FFFF;-;-;
CUSTCURR_LIMIT;1;Holding Register;RW;-;uint8_t;0-FFFF;-;-;
CUSTCURR_WARNING_LIMIT;2;Holding Register;RW;-;uint8_t;0-FFFF;-;-;
MEAS_AVG_NUM;3;Holding Register;RW;-;uint8_t;0-FFFF;-;-;
